Date : 2022-11-07 06:08:44
Directory : c:\Users\Administrador\Desktop\WowGoldLog
Total : 852 files,  315158 codes, 5727 comments, 13627 blanks, all 334512 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\index.html                                              | HTML               |         34 |          0 |          4 |         38 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\information.html                                        | HTML               |         50 |          0 |          1 |         51 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\legend\events.html                                      | HTML               |        123 |          0 |          1 |        124 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\legend\html.html                                        | HTML               |        253 |          0 |          1 |        254 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\legend\point-style.html                                 | HTML               |        133 |          0 |          1 |        134 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\legend\position.html                                    | HTML               |        149 |          0 |          1 |        150 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\legend\title.html                                       | HTML               |        161 |          0 |          1 |        162 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\line\interpolation.html                                 | HTML               |        179 |          0 |          1 |        180 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\line\line.html                                          | HTML               |        237 |          0 |          1 |        238 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\line\multi-axis.html                                    | HTML               |        187 |          0 |          1 |        188 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\line\point-styling.html                                 | HTML               |        291 |          0 |          1 |        292 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\line\segments.html                                      | HTML               |        105 |          0 |          1 |        106 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\line\stepped.html                                       | HTML               |        205 |          0 |          1 |        206 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\line\styling.html                                       | HTML               |        175 |          0 |          1 |        176 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\bubble.html                                | HTML               |        235 |          0 |          1 |        236 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\combo-bar-line.html                        | HTML               |        245 |          0 |          1 |        246 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\doughnut.html                              | HTML               |        275 |          0 |          1 |        276 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\multi-series-pie.html                      | HTML               |        197 |          0 |          1 |        198 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\pie.html                                   | HTML               |        227 |          0 |          1 |        228 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\polar-area-center-labels.html              | HTML               |        213 |          0 |          1 |        214 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\polar-area.html                            | HTML               |        191 |          0 |          1 |        192 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\radar-skip-points.html                     | HTML               |        181 |          0 |          1 |        182 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\radar.html                                 | HTML               |        231 |          0 |          1 |        232 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\scatter-multi-axis.html                    | HTML               |        279 |          0 |          1 |        280 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\scatter.html                               | HTML               |        235 |          0 |          1 |        236 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\other-charts\stacked-bar-line.html                      | HTML               |        249 |          0 |          1 |        250 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\plugins\chart-area-border.html                          | HTML               |        149 |          0 |          1 |        150 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\plugins\doughnut-empty-state.html                       | HTML               |        145 |          0 |          1 |        146 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\plugins\quadrants.html                                  | HTML               |        155 |          0 |          1 |        156 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scale-options\center.html                               | HTML               |        191 |          0 |          1 |        192 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scale-options\grid.html                                 | HTML               |        199 |          0 |          1 |        200 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scale-options\ticks.html                                | HTML               |        191 |          0 |          1 |        192 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scale-options\titles.html                               | HTML               |        173 |          0 |          1 |        174 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scales\linear-min-max-suggested.html                    | HTML               |        135 |          0 |          1 |        136 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scales\linear-min-max.html                              | HTML               |        131 |          0 |          1 |        132 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scales\linear-step-size.html                            | HTML               |        287 |          0 |          1 |        288 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scales\log.html                                         | HTML               |        163 |          0 |          1 |        164 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scales\stacked.html                                     | HTML               |        167 |          0 |          1 |        168 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scales\time-combo.html                                  | HTML               |        177 |          0 |          1 |        178 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scales\time-line.html                                   | HTML               |        239 |          0 |          1 |        240 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scales\time-max-span.html                               | HTML               |        269 |          0 |          1 |        270 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scriptable\bar.html                                     | HTML               |        157 |          0 |          1 |        158 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scriptable\bubble.html                                  | HTML               |        211 |          0 |          1 |        212 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scriptable\line.html                                    | HTML               |        189 |          0 |          1 |        190 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scriptable\pie.html                                     | HTML               |        181 |          0 |          1 |        182 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scriptable\polar.html                                   | HTML               |        161 |          0 |          1 |        162 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\scriptable\radar.html                                   | HTML               |        193 |          0 |          1 |        194 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\subtitle\basic.html                                     | HTML               |        133 |          0 |          1 |        134 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\title\alignment.html                                    | HTML               |        151 |          0 |          1 |        152 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\tooltip\content.html                                    | HTML               |        143 |          0 |          1 |        144 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\tooltip\html.html                                       | HTML               |        301 |          0 |          1 |        302 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\tooltip\interactions.html                               | HTML               |        275 |          0 |          1 |        276 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\tooltip\point-style.html                                | HTML               |        175 |          0 |          1 |        176 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\tooltip\position.html                                   | HTML               |        203 |          0 |          1 |        204 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\samples\utils.html                                              | HTML               |        190 |          0 |          1 |        191 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\helpers.esm.js                                                       | JavaScript         |          1 |          6 |          1 |          8 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\helpers.mjs                                                          | JavaScript         |          1 |          6 |          1 |          8 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\echarts\echarts.min.js                                                        | JavaScript         |          3 |         40 |          3 |         46 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\echarts\extension\bmap.js                                                     | JavaScript         |        296 |         50 |         80 |        426 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\echarts\extension\bmap.min.js                                                 | JavaScript         |          1 |         18 |          3 |         22 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\echarts\extension\dataTool.js                                                 | JavaScript         |        289 |         92 |         56 |        437 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\echarts\extension\dataTool.min.js                                             | JavaScript         |          1 |         18 |          3 |         22 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\php-email-form\validate.js                                                    | JavaScript         |         66 |          5 |         11 |         82 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\quill\quill.bubble.css                                                        | CSS                |        946 |          6 |          1 |        953 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\quill\quill.core.css                                                          | CSS                |        391 |          6 |          1 |        398 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\quill\quill.core.js                                                           | JavaScript         |      6,916 |        577 |      1,101 |      8,594 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\quill\quill.js                                                                | JavaScript         |      9,110 |        654 |      1,798 |     11,562 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\quill\quill.min.js                                                            | JavaScript         |          1 |          7 |          0 |          8 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\quill\quill.snow.css                                                          | CSS                |        939 |          6 |          1 |        946 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\remixicon\remixicon.css                                                       | CSS                |      2,303 |         10 |          5 |      2,318 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\remixicon\remixicon.less                                                      | Less               |      2,305 |         10 |          5 |      2,320 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\remixicon\remixicon.svg                                                       | XML                |      6,825 |         10 |          1 |      6,836 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\remixicon\remixicon.symbol.svg                                                | XML                |     11,346 |         10 |          0 |     11,356 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\simple-datatables\simple-datatables.js                                        | JavaScript         |          8 |          0 |          5 |         13 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\simple-datatables\style.css                                                   | CSS                |        143 |          2 |         29 |        174 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\CHANGELOG.md                                                          | Markdown           |      2,570 |          0 |        433 |      3,003 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\README.md                                                             | Markdown           |         39 |          0 |         33 |         72 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\bower.json                                                            | JSON               |         27 |          0 |          0 |         27 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\composer.json                                                         | JSON               |         51 |          1 |          0 |         52 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\icons\default\icons.js                                                | JavaScript         |        184 |          0 |          0 |        184 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\icons\default\icons.min.js                                            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\icons\default\index.js                                                | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\models\dom\index.js                                                   | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\models\dom\model.js                                                   | JavaScript         |      7,764 |          3 |        213 |      7,980 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\models\dom\model.min.js                                               | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\package.json                                                          | JSON               |         32 |          0 |          0 |         32 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\advlist\index.js                                              | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\advlist\plugin.js                                             | JavaScript         |        237 |          3 |         14 |        254 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\advlist\plugin.min.js                                         | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\anchor\index.js                                               | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\anchor\plugin.js                                              | JavaScript         |        178 |          3 |         16 |        197 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\anchor\plugin.min.js                                          | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\autolink\index.js                                             | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\autolink\plugin.js                                            | JavaScript         |        210 |          3 |         16 |        229 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\autolink\plugin.min.js                                        | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\autoresize\index.js                                           | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\autoresize\plugin.js                                          | JavaScript         |        143 |          3 |         12 |        158 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\autoresize\plugin.min.js                                      | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\autosave\index.js                                             | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\autosave\plugin.js                                            | JavaScript         |        213 |          3 |         18 |        234 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\autosave\plugin.min.js                                        | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\charmap\index.js                                              | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\charmap\plugin.js                                             | JavaScript         |      1,620 |          3 |         24 |      1,647 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\charmap\plugin.min.js                                         | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\code\index.js                                                 | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\code\plugin.js                                                | JavaScript         |         73 |          3 |         10 |         86 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\code\plugin.min.js                                            | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\codesample\index.js                                           | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\codesample\plugin.js                                          | JavaScript         |      2,423 |          3 |         24 |      2,450 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\codesample\plugin.min.js                                      | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\directionality\index.js                                       | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\directionality\plugin.js                                      | JavaScript         |        353 |          3 |         29 |        385 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\directionality\plugin.min.js                                  | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\emoticons\index.js                                            | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\emoticons\js\emojiimages.js                                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\emoticons\js\emojiimages.min.js                               | JavaScript         |          1 |          2 |          0 |          3 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\emoticons\js\emojis.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\emoticons\js\emojis.min.js                                    | JavaScript         |          1 |          1 |          0 |          2 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\emoticons\plugin.js                                           | JavaScript         |        555 |          3 |         26 |        584 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\emoticons\plugin.min.js                                       | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\fullscreen\index.js                                           | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\fullscreen\plugin.js                                          | JavaScript         |      1,140 |          3 |         54 |      1,197 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\fullscreen\plugin.min.js                                      | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\help\index.js                                                 | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\help\plugin.js                                                | JavaScript         |        869 |          3 |         50 |        922 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\help\plugin.min.js                                            | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\image\index.js                                                | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\image\plugin.js                                               | JavaScript         |      1,453 |          3 |         33 |      1,489 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\image\plugin.min.js                                           | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\importcss\index.js                                            | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\importcss\plugin.js                                           | JavaScript         |        326 |          3 |         16 |        345 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\importcss\plugin.min.js                                       | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\insertdatetime\index.js                                       | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\insertdatetime\plugin.js                                      | JavaScript         |        161 |          3 |         12 |        176 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\insertdatetime\plugin.min.js                                  | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\link\index.js                                                 | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\link\plugin.js                                                | JavaScript         |      1,168 |          3 |         34 |      1,205 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\link\plugin.min.js                                            | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\lists\index.js                                                | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\lists\plugin.js                                               | JavaScript         |      1,796 |          3 |         68 |      1,867 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\lists\plugin.min.js                                           | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\media\index.js                                                | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\media\plugin.js                                               | JavaScript         |      1,135 |          3 |         35 |      1,173 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\media\plugin.min.js                                           | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\nonbreaking\index.js                                          | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\nonbreaking\plugin.js                                         | JavaScript         |         96 |          3 |         13 |        112 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\nonbreaking\plugin.min.js                                     | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\pagebreak\index.js                                            | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\pagebreak\plugin.js                                           | JavaScript         |         91 |          3 |         12 |        106 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\pagebreak\plugin.min.js                                       | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\preview\index.js                                              | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\preview\plugin.js                                             | JavaScript         |         82 |          3 |         13 |         98 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\preview\plugin.min.js                                         | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\quickbars\index.js                                            | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\quickbars\plugin.js                                           | JavaScript         |        108 |        305 |         10 |        423 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\quickbars\plugin.min.js                                       | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\save\index.js                                                 | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\save\plugin.js                                                | JavaScript         |        103 |          3 |         13 |        119 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\save\plugin.min.js                                            | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\searchreplace\index.js                                        | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\searchreplace\plugin.js                                       | JavaScript         |      1,038 |          3 |         39 |      1,080 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\searchreplace\plugin.min.js                                   | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\table\index.js                                                | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\table\plugin.js                                               | JavaScript         |      3,301 |          3 |         95 |      3,399 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\table\plugin.min.js                                           | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\template\index.js                                             | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\template\plugin.js                                            | JavaScript         |        527 |          3 |         22 |        552 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\template\plugin.min.js                                        | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\visualblocks\index.js                                         | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\visualblocks\plugin.js                                        | JavaScript         |         83 |          3 |         13 |         99 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\visualblocks\plugin.min.js                                    | JavaScript         |          1 |          3 |          0 |          4 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\visualchars\index.js                                          | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\visualchars\plugin.js                                         | JavaScript         |        475 |          3 |         32 |        510 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\tinymce\plugins\visualchars\plugin.min.js                                     | JavaScript         |          1 |          3 |          0 |          4 |
